! 	O 	N 	N 	r 	O 	O 	g 	O 	e 	n 	r 	r 	E 	! 	k 	! 	r 	! 	k 	!
! 	E 	a 	a 	a 	e 	O 	g 	g 	n 	D 	r 	r 	E 	r 	E 	J 	J 	J 	E 	!
! 	E 	N 	N 	N 	e 	O 	g 	g 	n 	r 	D 	r 	E 	r 	E 	r 	w 	w 	E 	!
! 	E 	O 	O 	N 	e 	O 	g 	g 	e 	D 	D 	J 	E 	n 	E 	w 	w 	r 	E 	!
! 	E 	n 	O 	N 	e 	O 	g 	n 	n 	D 	D 	A 	E 	n 	E 	k 	k 	k 	E 	r
! 	E 	E 	a 	a 	e 	O 	g 	U 	D 	n 	D 	n 	E 	n 	E 	E 	E 	E 	E 	k
r 	n 	O 	n 	n 	n 	O 	J 	n 	D 	n 	D 	n 	E 	r 	k 	w 	w 	w 	w 	w
F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F 	F
A 	n 	O 	n 	O 	O 	O 	t 	g 	D 	n 	n 	E 	E 	E 	n 	w 	J 	J 	J 	w
n 	n 	O 	a 	a 	E 	e 	S 	n 	D 	n 	E 	U 	n 	E 	n 	w 	w 	w 	w 	J
A 	n 	J 	t 	t 	t 	O 	g 	n 	D 	D 	E 	E 	A 	n 	E 	J 	w 	w 	w 	w
n 	J 	J 	E 	t 	t 	g 	g 	E 	D 	D 	E 	E 	A 	n 	n 	U 	J 	I 	w 	e
r 	n 	J 	E 	E 	t 	t 	E 	E 	D 	n 	E 	U 	D 	J 	I 	I 	w 	I 	e 	e
J 	J 	J 	J 	J 	J 	J 	g 	n 	D 	n 	E 	U 	J 	U 	U 	I 	U 	I 	e 	e
! 	n 	t 	t 	t 	t 	t 	g 	S 	n 	E 	E 	D 	U 	U 	E 	U 	I 	w 	w 	w
O 	E 	E 	E 	a 	A 	t 	i 	S 	E 	E 	n 	D 	E 	E 	E 	w 	U 	e 	J 	U
r 	A 	r 	! 	r 	A 	O 	i 	S 	n 	E 	D 	U 	E 	E 	U 	E 	U 	e 	U 	E
U 	A 	r 	! 	! 	A 	O 	i 	S 	n 	n 	D 	S 	E 	E 	E 	E 	U 	U 	E 	E
U 	A 	r 	r 	r 	J 	O 	i 	S 	S 	S 	S 	E 	E 	E 	U 	U 	U 	E 	E 	E
U 	A 	A 	A 	A 	J 	O 	i 	S 	i 	S 	E 	E 	E 	E 	E 	E 	E 	U 	E 	U
U 	U 	U 	U 	U 	U 	O 	i 	i 	i 	S 	S 	D 	A 	J 	J 	U 	E 	E 	E 	E
